name,type,benefits,target,frequency,compatible,incompatible
Allantoin,Moisturizer and exfoliator.,"Moisturizes, soothes itchiness, and heals injured skin.","In general, those with dry, itchy skin looking for better skin texture and smoothness, regardless of skin type, age, or conditions.","Can be used day in and day out without general side effects of any kind, according to Shamban.","Herrmann says when used in scar creams, allantoin is often combined with ingredients like silicone and other emollients to amplify results.","Herrmann adds that combining it with other exfoliants could produce an exaggerated reaction, causing excess irritation, if strengths are too high."
Aloe Vera,Skin soother,"Calms, soothes, and hydrates the skin","In general, anyone looking to soothe burns, including sunburn and windburn, and moisturize their skin.",Nussbaum recommends applying it two to three times daily.,"To increase the calming benefits, Nussbaum suggests using it with anti-inflammatory ingredients.","Nussbaum says to avoid using aloe vera products that also contain alcohol, which will negate the moisturizing, soothing effects of the aloe, and also avoid combining it with chemical exfoliants, which could worsen any stinging or irritation. If you have a burn, Nussbaum advises against using it with an ointment or petrolatum, which will trap the heat inside."
Alpha Hydroxy Acids,Acid/chemical exfoliant,"Exfoliate the top layers of skin to minimize dullness and even out texture; some AHAs can also stimulate collagen production, while others have antioxidant and hydrating properties.","Given their wide range of effects, most people can benefit from using AHAs, says Nazarian, so long as you find the right alpha hydroxy acid and concentration of it for your particular skin type.","This differs greatly based on the particular acid, product, and your skin. Follow product directions, but always start slow, using any AHA only once or twice per week and gradually increasing frequency as your skin can tolerate it, suggests Nussbaum.","Peptides can slow the penetration of AHAs, making them less irritating, says Nussbaum. You can also pair them with hydrating ingredients.","Avoid using retinoids at the same time of day as AHAs, and be cautious when using both BHAs (beta hydroxy acids, such as salicylic acid) and AHAs in order to minimize irritation."
Amino Acids,Varying,"Soothe skin, help moisturize, act as antioxidants","In general, whatever amino acids are added to your skincare will be catered to the function of the product.",How often can you use it? You can use amino acids as often as you want; they are gentle enough for everyday use.,"Pretty much everything; glycerides, ceramides, and peptides in particular.",Amino acids can be mixed with a host of other ingredients.
Amoxicillin,Antibiotic,Most commonly used to treat upper respiratory bacterial infections and urinary tract infections; sometimes used as a second-line treatment for acne.,"Those dealing with moderate to severe inflammatory acne, and who can't take the tetracycline class of antibiotics (monocycline, doxycycline) because of allergy or pregnancy.","It's usually prescribed twice daily for acne, though as with any antibiotics for acne, it should be discontinued after three to four months of use.","Oral antibiotics are generally paired with topical medications that contain benzoyl peroxide and topical retinoids, says Zeichner.","Other topical antibiotics, which can increase the likelihood of developing bacterial resistance."
Apple Cider Vinegar,Exfoliator,"Balances pH, chemically exfoliates, and antibacterial.","In general, people with oily and acneic skin.",The use of apple cider vinegar depends on what product and concentration you're using it in.,Anti-inflammatories.,"Other acids, retinoids."
Arbutin,Brightener,"Lightens dark spots, lessens appearance of acne scars, helps even out skin tone.",Arbutin is generally safe for all skin types.,Arbutin can be used twice a day. It is safe to apply on clean skin with other creams and serums. It can also be used in the summer since it does not make skin more sensitive to the sun.,"Vitamin C, AHAs","While there are no known negative interactions with other skincare ingredients, heat can degrade the effectiveness of arbutin.﻿﻿"
Argireline,Peptide,"Prevents the muscle movement that leads to wrinkle formation. Argireline also promotes collagen production and optimizes the function of collagen, which both fight fine lines and improve moisture levels in the skin, says Shah.",Anyone looking to smooth out wrinkles caused by repeated muscle movement in areas such as the forehead and around the eyes. It’s also a good pick for anyone with dry skin as it actually helps allocate moisture to the area of application.,It can be used daily.,"One study suggests that it works well in conjunction with another peptide, tripeptide-10-cirtrulline, which increases the permeability for argireline to penetrate to a depth where it can target muscles that cause wrinkles, says Linkner. It’s also often combined with hyaluronic acid to up the hydration benefits.","Generally speaking, argireline works well with all ingredients."
Ascorbyl Glucoside,Antioxidant,"Neutralizes skin-damaging free radicals, inhibits the production of pigment to fade and prevent dark spots, boosts collagen production.","In general, because this is a less potent version of vitamin C, it's a good option for all skin types and anyone looking to brighten a dull complexion, enhance radiance, and stave off signs of aging such as fine lines and wrinkles, advises Nussbaum.","Recommended use is usually once a day, though it can be used twice daily as well.","As an antioxidant, ascorbyl glucoside plays nice with many different ingredients, though it works especially well with niacinamide, a type of vitamin B. ""When combined, these two ingredients can help address issues such as loss of firmness and elasticity, wrinkles and fine lines, unevenness in the complexion, and large pores,"" explains Solomon. All antioxidants also work well with sunscreen, offering an added layer of protection.","Benzoyl peroxide can oxidize vitamin C and should therefore be avoided. Vitamin C and retinol are active at different pHs and therefore should be used separately if you want the full potential of each ingredient, notes Nussbaum."
Avocado Oil,"Antioxidant, emollient, and anti-inflammatory.",Helps the skin maintain hydration and minimizes damage from free radicals.,"Because of its anti-inflammatory properties, Russak recommends avocado oil for anybody who has eczema, acne, seborrheic dermatitis, or psoriasis.","Avocado oil is safe to use daily in a dilute form. If it is included in a product’s formulation, follow the manufacturer’s instructions.","Russak recommends combining avocado oil with retinol. “The most absorption of the retinol happens with a fat-soluble content,” Russak explains. “Combining it together with an oil will increase absorption and decrease the irritation from it.” Although avocado oil has moisturizing properties, Hayag says it also would be beneficial for maximal moisture to use it in combination with a humectant like hyaluronic acid in order to draw water into the skin.","There are no ingredients that contraindicate with avocado oil, but Russak suggests refraining from using the oil with other oils, such as vitamin K. “You’re really just creating too much of the lipids on the surface of the skin, and lipids start competing in terms of how they penetrate into the skin, so it will decrease the efficacy of whatever you’re trying to do,” Russak explains."
Azelaic Acid,Exfoliant,"Fights acne, treats rosacea, lightens pigmentation, and removes dead skin cells.","In general, anyone with acne-prone, rosacea-prone skin and hyperpigmentation. Dr. Fusco says azelaic acid is recommended for all skin types and is even safe for those who are pregnant.",It is safe to use twice a day (morning and night) or once every other day for those with sensitive skin.,"Alpha-hydroxy acids (AHA), beta-hydroxy acid (BHA), and retinol.","Azelaic acid is safe to use in conjunction with most, if not all, ingredients.﻿﻿"
Bakuchiol,Hydrator,"Wrinkle reduction, increases skin firmness, and reduces the appearance of pores.","Generally, bakuchiol is safe for all skin types.","It's safe to use twice a day, in the morning before moisturizer and at night before any serums.","Other hydrating ingredients, like squalane and PHAs.",Glycolic acid could degrade the formulation.
Benzoyl Peroxide,Anti-bacterial,Reduces acne-causing bacteria,"In general, benzoyl peroxide is suitable for those looking to treat mild to moderate acne at home.","Benzoyl peroxide shouldn't be used more than twice per day, at most.",Benzoyl peroxide works well in combination with salicyclic acid to treat acne.,Don't use multiple benzoyl peroxide products at once. Benzoyl peroxide may also reduce the efficacy of vitamin C products when used as part of the same routine.
Benzyl Alcohol,"Preservative, antioxidant, and solvent","Preserves, stabilizes, and dissolves ingredients","In general, benzyl alcohol is safe to use by anyone who does not have a true contact allergy to it. Krant adds that those who prefer un-preserved products would want to avoid products containing standard preservatives like benzyl alcohol, though it may risk contamination.",Benzyl alcohol is safe to use on a daily basis if you're not sensitive to it and if it's used at a low concentration.,"Benzyl alcohol works well with most, if not all, other ingredients.","Benzyl alcohol works well with most, if not all, other ingredients."
Beta Glucan,Hydrator,"Boosts skin barrier, smooths skin, antioxidant","In general, people with compromised skin barriers, but anyone can use them.",You can use it as often as you would like.,"Retinols, or anything else dehydrating or irritating. Sunscreens, as it helps reduce issues related to UV exposure.",
Biotin,B complex vitamin,Contributes to overall skin health,"According to Jaliman, anyone deficient in biotin can take the supplement.","Garshick says the general dose of a biotin supplement used is 2.5 to 3 mg (2500 to 3000 mcg) a day, but it hasn't been extensively studied, so it is still unknown what the best optimal dosing is. However, Jaliman says a supplement is safe for daily use for most but advises people to follow the directions on the specific product they purchase. Because it depends on the micrograms, Jaliman suggests checking the label to decide how often it should be taken.","Jaliman recommends combining biotin with protein supplements. ""Protein helps the body to produce keratin, which is vital to the hair structure and also skin and nails,"" Jaliman explains. She also recommends taking collagen in conjunction with a biotin supplement. ""Collagen is found in the layer of the skin that gives the skin its fullness and plumpness,"" she adds.","Garshick says some antibiotics and anti-seizure medications can affect the absorption of biotin, so it is always best to discuss with your doctor prior to starting a biotin supplement (or any supplement, in general)."
Butylene Glycol,"Humectant, solvent, and emollient","Retains moisture, dissolves ingredients, and improves application.","In general, anyone looking for a way to effectively moisturize their skin.",Butylene glycol is safe for daily use for those who do not have an allergy to it or very sensitive skin.,"As a solvent, butylene glycol works well with ingredients that are not water-soluble and are difficult to dissolve.","Butylene glycol works well with most, if not all, ingredients."
Caffeine,Anti-inflammatory.,"Reduces wrinkles, brightens skin, gets rid of inflammation.","In general, people with concerns about wrinkles or aging.","Usually, it's used once a day, in the mornings.",Vitamin C and ginseng for an ultra-brightening effect.,N/A
Caprylyl Glycol,Moisturizer,"Attracts water to and holds it in the skin, but also has preservative-like properties that can help prevent other ingredients from spoiling and extend the shelf life of the product, says Palep. It also helps products spread and absorb more easily into skin, says Belkin.","Generally speaking, it works well for all skin types, especially those looking to keep their skin smooth and moisturized.","This is largely dependent on the product within your regimen that contains capryl glycol in the formula, says Solomon. Generally speaking, moisturizers and lotions can be used throughout the day, but in case there's another active ingredient in there that may cause irritation with multiple uses, the safest thing is to follow particular product instructions.","It is often used with other ingredients known to hydrate the skin, such as honey, aloe, and hyaluronic acid, says Solomon.","As a rule, it can be used with most other ingredients."
Carrot,Antioxidant,"Increases cell turnover, brightens skin, reduces inflammation.","In general, anyone concerned about their skin becoming dull. However, people with sensitive skin may want to avoid it.","You can use it in the AM and PM, but no more than twice a day.","Hydrators like hyaluronic acid, non-retinol exfoliants, Vitamin E.","Retinols, because they're also Vitamin A."
Castor Oil,Hydrator,"Hydrating, soothing, detoxifying","In general, people with problematic skin, or people who want to prevent wrinkles. Pregnant women should avoid Castor oil as it can induce labor.",once a week,Other oils like almond and jojoba,Any other possible irritants.﻿﻿
Ceramides,Moisturizer,"Rebuild and restore the protective barrier of the skin to retain moisture, improve visible signs of aging, and block environmental damage.","In general, anyone with dry skin or anyone interested in anti-aging skincare.",It’s safe for frequent use and is recommended to be applied twice daily.,Cholesterol and fatty acids. “There are three big classes of lipids,Ceramides are safe to use in conjunction with most if not all ingredients.
Cetearyl Alcohol,Emulsifier,"Stabilizes products, Prevents separation, and Thickens.","In general, anyone who doesn't have an allergy can safely use cetearyl alcohol.",Daily.,Most other emulsifiers.,"Cetearyl alcohol is safe to use with most other ingredients, but it can be comedogenic when used in conjunction with ceteareth-20, according to Fusco."
Charcoal,Adsorbent,Removes toxins,"Theoretically, charcoal can remove excess oil, so those with oily skin would benefit the most from trying a charcoal-based skincare product.","Because there are no proven benefits when used in skincare, Wong says there is no information on how often charcoal should be used on the skin. However, Levin adds that charcoal is inert and does not cause allergic reactions or irritation.","Clays, which can absorb oil from the skin.","Because charcoal adsorbs (binds to) other substances to remove them, Wong says it's a good idea to avoid using actives with the ingredient but adds that they can be used after the charcoal has been rinsed off."
Cocoa Butter,Hydrator,"Heals chapped skin, moisturizes, fights aging","In general, anyone who in need of a body moisturizer—however, if you easily get body acne, you might want to skip this one.","As much as you want, really.","Vitamin E oil, shea butter",Other potentially pore-clogging ingredients
Collagen,Protein.,Moisturizes the skin.,"Graf says in general, anyone interested in moisturization and anti-aging can use collagen skincare.","Graf says topical collagen, as well as oral collagen, can be used on a daily basis. When applied to the skin, collagen can be used be morning or night or both as it's not sun-sensitizing.","If your ultimate goal of using collagen skincare is to stimulate collagen production, Hayag recommends adding to your routine a retinoid or retinol (which she calls the gold standard for boosting collagen) or peptides and growth factors as a less irritating option that can help by acting as “messengers” to signal cells to create collagen. Hayag also recommends vitamin C (another collagen producer) and sunscreen with UVA protection to prevent your collagen from breaking down further.","In general, collagen is safe to use with most ingredients and topical products. ""When you apply hydrolyzed collagen, it gets right into the skin and penetrates rapidly,"" Graf explains, and for that reason, she says it shouldn't interfere with any other product or ingredient."
Colloidal Oatmeal,Skin protectant.,"Protect, prevent water loss, and soothe the skin.","In general, colloidal oatmeal can be used by anyone to hydrate and moisturize the skin, but King says it is particularly helpful for those with dry skin and conditions like eczema.",The recommended use for colloidal oatmeal is twice daily.,"Colloidal oatmeal can be used in conjunction with ingredients that can be irritating to the skin, such as alpha- and beta-hydroxy acids and retinoids, to help minimize irritation and disruption of the skin barrier.","Colloidal oatmeal works well with most, if not all, other ingredients."
,Retexturizer,"Antioxidant, stimulates collagen production﻿﻿","In general, anyone looking to get rid of hyperpigmentation.",Twice a day.,"Copper peptides don't have an enhanced performance when used simultaneously with any particular ingredient, but in general, it's recommended that they are used in conjunction with a barrier-protecting moisturizer.","Dermatologists typically recommend that you don't use copper peptides simultaneously with vitamin C, but each case is different depending on the formulas you're using. Consult a dermatologist."
CoQ10,Antioxidant,"Evens skin tone, reduces sun damage, improves skin hydration.","Generally, CoQ10 is safe for most everyone to use. However, those with vitiligo should consult their dermatologist before use.",CoQ10 can be used during your morning and night skincare routines. Apply it before you apply any heavy moisturizers.,"Aloe vera, vitamin C, vitamin B3, hyaluronic acid",No known interactions.
Cyclopentasiloxane,"Emollient, lubricant, and solvent","Gives products a silky texture, seals hydration, and dissolves heavier ingredients","In general, anyone looking to soften their skin with a lightweight product",Cyclopentasiloxane is safe to use on a daily basis.,Robinson says it works well when combined with heavier oils or silicones because it makes them easier to spread on the skin.,"Cyclopentasiloxane works well with most, if not, all other ingredients."
Dimethicone,Emollient,"Gives a silky texture to products, seals hydration, and protects the skin.","It's safe for all ages and recommended for those who want to prevent dry, rough, scaly skin.",Daily.,Humectants and active ingredients that cause dryness and irritation.,"Dimethicone works well with most, if not all, other ingredients."
Emollients,Moisturizing agent,Smoothes and softens the skin by helping to repair cracks in the skin barrier thus preventing water loss; acts as a lubricating agent in products.,"WHO SHOULD USE IT Emollients are good for most skin types, the one exception being those with naturally very oily skin, notes Greenfield. In this case, emollients, particularly heavy, oil-rich products, can potentially be too heavy and lead to clogged pores and breakouts.","HOW OFTEN CAN YOU USE IT Barring the exception noted above about oily skin and thicker emollients, they can generally be used regularly and liberally.","﻿WORKS WELL WITH ""Emollients work well with a range of other skincare ingredients,"" says Nussbaum. In moisturizers, emollients work best when paired with other moisturizing agents that have occlusive or humectant properties, meaning they coat and cover the skin or attract water to it, respectively, she explains. They can also be combined with other actives, such as anti-inflammatory botanical extracts.","DON'T USE WITH Avoid pairing emollients with ingredients that can have potentially irritating side-effects that you don't want sealed into the skin, cautions Nussbaum, who cites retinols and alpha- and beta-hydroxy acids as common examples."
Eucalyptus Oil,Essential oil,"It has antimicrobial, antioxidant, and anti-inflammatory properties, though Chang says more studies are needed to confirm these skin benefits.",Neither Chang nor Robinson recommends eucalyptus oil for dermatologic applications.,"Eucalyptus oil can be inhaled as needed to ease cold symptoms or relax the muscles, but neither dermatologist recommends the use of eucalyptus oil for dermatologic applications.","Like most essential oils, eucalyptus oil should always be diluted in a carrier solution, such as a fatty oil, before use.",Inform your doctor of any medications you’re taking or products you’re using before trying eucalyptus oil.
Ferulic Acid,Antioxidant.,"Decreases formation of fine lines and wrinkles, brown spots, and other signs of premature aging.","In general, anyone interested in an anti-aging skin regimen. Everyone can benefit from using an antioxidant to protect themselves from free-radical damage, but they can cause possible irritation, so not all antioxidants are the right concoction for each skin type.","It's safe to use every day. Apply it in the morning to clean, dry skin before your moisturizer and sunscreen.","Other antioxidants, particularly vitamins C and E and resveratrol.","Exfoliating acids like glycolic, lactic, and salicylic acids because they can alter the pH, which then changes the effectiveness of the antioxidant."
GLUCONOLACTONE,Exfoliator,"Improves skin texture and tone, hydrates, offers some antioxidant benefits.","In general, it’s good for all skin types, particularly those with sensitive or mature skin who can’t tolerate the irritation that can come from AHAs and BHAs, notes Farber.","If you’re not using any other chemical exfoliants in your routine, it’s gentle enough for daily use. Otherwise, use it a few times per week.","Tried and true skincare staples—namely, vitamin C, retinoids, and alpha- and beta-hydroxy acids—as part of an overall anti-aging regimen.","It plays nice with most other ingredients, although you do want to be cautious about over-exfoliation when it’s used in tandem with other acids or exfoliants such as retinoids."
Glycerin,Hydrator,"Moisturizes skin, smoothes skin, makes skin appear dewy.","Generally, glycerin is safe for all skin types.",Products with glycerin can be used topically multiple times a day.,"Other moisturizing ingredients, like rose water or hyaluronic acid.","There are no known interactions, however glycerin should not be used in a 100% concentration."
Goji Berry,Antioxidant,"Promotes collagen and elastin production, reduces hyperpigmentation, reduces oxidative stress.","In general, anyone with uneven skin tone.",Once or twice a day.,Hydrators and barrier boosters.,Don't ingest them if you have issues with blood thinning or diabetes.
Grapeseed Oil,Oil,"Moisturizes, lightens dark circles, fades scars, tightens skin, prevents sun damage.","All skin types, including sensitive and acne-prone.",Once-daily.,"Other natural oils like avocado, almond, and jojoba.","Anything harsh or drying that could counteract the oil's emollient qualities (retinol, salicylic acid, etc.)."
,Antioxidant.,"Soothes and protects the skin, reduces sebum, and minimizes signs of aging.","In general, green tea is suitable for almost all skin types unless you have a known hypersensitivity to it, according to Kim.","Green says not only is it safe to consume green tea daily, but it's also safe to use it in your daily skincare routine.","According to Kim, green tea is best used in combination with other antioxidants because they work synergistically. ""Vitamin C helps to reduce degradation of EGCG, and in turn, EGCG can enhance the antioxidant effect of both Vitamins C and E,"" Kim explains. ""There may also be enhanced skin penetration when EGCG is added to hyaluronic acid because of the latter’s strongly hydrating properties.""","According to Kim, there are no products you must avoid when using green tea topically."
Hemp Seed Oil,Oil,"Reduces inflammation, hydrates, regulates oil production.","In general, people with acneic or combination skin.",As often as you would use any oil—roughly twice a day.,Acids and retinoids as it can mitigate the irritation they cause.,Hemp seed oil can be used universally.
Hyaluronic Acid,Hydrator,"Moisturizes skin, reduces appearance of wrinkles, replenishes cell moisture, speeds wound healing.","In general, hyaluronic acid is safe for all skin types, but it is especially helpful for those with dry skin. However, those with rosacea or eczema may want to test patch HA to make sure it doesn't irritate skin.","Hyaluronic acid can be applied twice a day topically, at morning and at night during your skincare routine, but injected hyaluronic acid and ingestible hyaluronic acid should be administered by a doctor.","Vitamin C, vitamin B5, and glycolic acid.",There are no known negative reactions with hyaluronic acid.
Hydrocortisone,Corticosteroid (anti-inflammatory),"As a spot treatment, reduces redness and inflammation from breakouts.","Anyone (who isn't allergic to the ingredient) looking to target a specific inflamed breakout, rather than an area of the face.",Apply no more than twice daily for up to two weeks.,"Benzoyl peroxide, salicylic acid, sulfur, and retinoids.",Other hydrocortisone products or on cortisone injection sites.
Isopropyl Myristate,"Emollient, though it also acts as a thickening agent and lubricant in beauty products.","Strengthens the skin's natural moisture barrier to lock in hydration, enhances the penetration of other ingredients, thickens formulas, and makes those with a high oil content feel silky rather than greasy.","Isopropyl myristate is ideal for anyone with normal to dry skin looking for moisturization benefits, according to Palep.","For the best results, follow the directions on the product it's found in, though daily or twice daily use is generally fine.","Isopropyl myristate works well with an assortment of active ingredients, says Solomon, which is why it's found in so many different types of products and formulas.","Because it does enhance penetration, it’s important to assess the other ingredients in the formula and whether this increased penetration can cause unexpected side effects such as irritation, cautions Palep."
Jojoba Oil,Emollient that softens and smoothes the skin,"Hydrates the skin, balances natural oil production, delivers antioxidant protection, has anti-inflammatory effects, may have some antibacterial properties, and can also help reduce acne.","Everyone can use jojoba oil, but it's an especially good choice for those with dry skin or those who are prone to acne or redness, says Nussbaum.",It's safe to use daily and even multiple times per day.,"Jojoba oil can be combined with many other ingredients—it's a staple in many cosmetic formulations—and is often combined with other emollients, oils, and/or moisturizing ingredients such as shea butter, ceramides, beeswax, and hyaluronic acid.",There are currently no ingredients known to have any kind of negative interaction with jojoba oil.
Kojic Acid,Skin brightener,"Inhibits an enzyme necessary in the production of melanin, helping to fade dark spots and discoloration. It also delivers some antioxidant protection.","Anyone seeking to improve the look of discoloration caused by sun damage, melasma, and/or post-inflammatory hyperpigmentation that occurs after a blemish, says Chang. Bhanusali adds that it's also a good option for those want to avoid or can't tolerate hydroquinone, one of the most often used skin-lightening ingredients.","This depends on what other ingredients it's compounded with and the concentration, but generally it can be used daily.","Studies have shown that kojic acid works well with and enhances the effects of glycolic acid and hydroquinone, says Nazarian.","While it does have a synergetic effect when used with these other brightening/exfoliating ingredients, pairing it with these also increases the likelihood of experiencing excessive dryness or irritation. Proceed with caution and start using any products that contain kojic acid and other actives gradually, giving your skin some time to acclimate."
Lactic Acid,Acid/exfoliator,"Firmer, thicker skin, resulting in fewer fine lines, wrinkles, and acne lesions.","In general, anyone with acne-prone skin or who frequently breaks out.","It's only recommended for use once a day at maximum, but should probably be used once every few days.",Hydrating ingredients like hyaluronic acid.,Other acids and exfoliants like AHAs or benzoyl peroxide. Retinol should be avoided as well.
Lanolin,Emollient,"Locks moisture into the skin, extremely rejuvenating and healing, allows the skin the moisturize itself from within.","In general, those with dry or damaged skin would benefit most from using lanolin products.","Lanolin products can be used daily, both morning and night.","Lanolin works best alongside other moisturizing products, as it assists in locking moisture into the skin.","In general, lanolin is safe to use with most ingredients and products."
Lavender Oil,Essential oil,"Soothes skin, improves acne, protects against free radicals, and combats bacterial and fungal disorders.","In general, anyone with acne-prone skin who does not have a contact allergy to lavender or fragrance and does not have sensitive skin.","Provided you do not have an allergy to the ingredient, lavender oil is safe to use in your daily routine, and how often it is used depends on the type of product.","Lavender oil can be diluted in a carrier solution, such as a fatty oil. ""When lavender is mixed with coconut, jojoba or grapeseed oil, it has wonderful benefits on the skin,"" Guanche says.",Inform your doctor of any medications you’re taking or products you’re using before trying lavender oil.
