chem_name,prod_name
Propylene Glycol,Powerful-Strength Line-Reducing Concentrate 12.5% Vitamin C
Palmitate,Powerful-Strength Line-Reducing Concentrate 12.5% Vitamin C
Vitamin C,Powerful-Strength Line-Reducing Concentrate 12.5% Vitamin C
Phenoxyethanol,Protini™ Polypeptide Moisturizer
Benzyl Alcohol,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Glycerin,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Phenoxyethanol,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Palmitate,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Sodium Hyaluronate,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Triethanolamine,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Vitamin C,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer
Phenoxyethanol,Pure Argan Milk™ Intensive Hydrating Treatment
Phenoxyethanol,Purity Made Simple Pore Extractor Mask
Propylene Glycol,Purity Made Simple Pore Extractor Mask
Amino Acids,Rapid Relief Acne Spot Treatment
Butylene Glycol,Rapid Relief Acne Spot Treatment
Glycerin,Rapid Relief Acne Spot Treatment
Propanediol,Rapid Relief Acne Spot Treatment
Shea Butter,Rapid Relief Acne Spot Treatment
Allantoin,Rare Earth Deep Pore Cleansing Mask
Caprylyl Glycol,Rare Earth Deep Pore Cleansing Mask
Cetearyl Alcohol,Rare Earth Deep Pore Cleansing Mask
Glycerin,Rare Earth Deep Pore Cleansing Mask
Phenoxyethanol,Rare Earth Deep Pore Cleansing Mask
Propanediol,Rare Earth Deep Pore Cleansing Mask
Butylene Glycol,Renewed Hope in A Jar Facial Moisturizer
Caprylyl Glycol,Renewed Hope in A Jar Facial Moisturizer
Cetearyl Alcohol,Renewed Hope in A Jar Facial Moisturizer
Cyclopentasiloxane,Renewed Hope in A Jar Facial Moisturizer
Dimethicone,Renewed Hope in A Jar Facial Moisturizer
Glycerin,Renewed Hope in A Jar Facial Moisturizer
Hyaluronic Acid,Renewed Hope in A Jar Facial Moisturizer
Magnesium,Renewed Hope in A Jar Facial Moisturizer
Mandelic Acid,Renewed Hope in A Jar Facial Moisturizer
Phenoxyethanol,Renewed Hope in A Jar Facial Moisturizer
Propanediol,Renewed Hope in A Jar Facial Moisturizer
Palmitate,Renewed Hope in A Jar Facial Moisturizer
Sodium Hyaluronate,Renewed Hope in A Jar Facial Moisturizer
Phenoxyethanol,Resurfacing BHA Glow Mask
Phenoxyethanol,Resveratrol Lift Hyaluronic Acid Eye Lifting Balm
Phenoxyethanol,Resveratrol Lift Night Infusion Cream
Cyclopentasiloxane,Retinol Fusion PM Night Serum
Retinol,Retinol Fusion PM Night Serum
Palmitate,Retinol Fusion PM Night Serum
Phenoxyethanol,Retinol Anti-Aging Serum
Amino Acids,Retinol Youth Renewal Serum
Butylene Glycol,Retinol Youth Renewal Serum
Cyclopentasiloxane,Retinol Youth Renewal Serum
Dimethicone,Retinol Youth Renewal Serum
Glycerin,Retinol Youth Renewal Serum
Phenoxyethanol,Retinol Youth Renewal Serum
Propanediol,Retinol Youth Renewal Serum
Retinol,Retinol Youth Renewal Serum
Palmitate,Retinol Youth Renewal Serum
Shea Butter,Retinol Youth Renewal Serum
Sodium Hyaluronate,Retinol Youth Renewal Serum
Butylene Glycol,Revitalizing Supreme Global Anti-Aging Crème
Dimethicone,Revitalizing Supreme Global Anti-Aging Crème
Glycerin,Revitalizing Supreme Global Anti-Aging Crème
Phenoxyethanol,Rose & Hyaluronic Acid Deep Hydration Toner
Butylene Glycol,Rose Deep Hydration Sleeping Mask
Caprylyl Glycol,Rose Deep Hydration Sleeping Mask
Castor Oil,Rose Deep Hydration Sleeping Mask
Dimethicone,Rose Deep Hydration Sleeping Mask
Glycerin,Rose Deep Hydration Sleeping Mask
Phenoxyethanol,Rose Deep Hydration Sleeping Mask
Propanediol,Rose Deep Hydration Sleeping Mask
Phenoxyethanol,Mini Rose & Hyaluronic Acid Deep Hydration Toner
Phenoxyethanol,Rose Face Mask
Phenoxyethanol,Rose Face Mask Mini
Phenoxyethanol,Rose Floral Toner
Phenoxyethanol,Salicylic Acid Acne + Pore Cleanser
Phenoxyethanol,Seaberry Skin Nutrition Cleansing Oil
Phenoxyethanol,Shaba Complex™ Firming Eye Serum
Caprylyl Glycol,Retinol Reform®
Glycerin,Retinol Reform®
Lactic Acid,Retinol Reform®
Phenoxyethanol,Retinol Reform®
Propanediol,Retinol Reform®
Retinol,Retinol Reform®
Caprylyl Glycol,Retinol Reform® Mini
Glycerin,Retinol Reform® Mini
Lactic Acid,Retinol Reform® Mini
Phenoxyethanol,Retinol Reform® Mini
Propanediol,Retinol Reform® Mini
Retinol,Retinol Reform® Mini
Caprylyl Glycol,Texture Reform™
Glycerin,Texture Reform™
Lactic Acid,Texture Reform™
Propylene Glycol,Texture Reform™
Palmitate,Texture Reform™
Caprylyl Glycol,Sheer Transformation® Perfecting Moisturizer
Cyclopentasiloxane,Sheer Transformation® Perfecting Moisturizer
Dimethicone,Sheer Transformation® Perfecting Moisturizer
Glycerin,Sheer Transformation® Perfecting Moisturizer
Phenoxyethanol,Sheer Transformation® Perfecting Moisturizer
Palmitate,Sheer Transformation® Perfecting Moisturizer
Allantoin,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Amino Acids,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Butylene Glycol,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Caprylyl Glycol,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Cetearyl Alcohol,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Dimethicone,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Glycerin,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Magnesium,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Panthenol,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Phenoxyethanol,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Retinol,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Sodium Hyaluronate,Skin Perfecting Lotion - Blemish Prone/Oily Skin
Allantoin,Skin Smoothing Cream Moisturizer
Amino Acids,Skin Smoothing Cream Moisturizer
Butylene Glycol,Skin Smoothing Cream Moisturizer
Cetearyl Alcohol,Skin Smoothing Cream Moisturizer
Dimethicone,Skin Smoothing Cream Moisturizer
Glycerin,Skin Smoothing Cream Moisturizer
Panthenol,Skin Smoothing Cream Moisturizer
Sodium Hyaluronate,Skin Smoothing Cream Moisturizer
Phenoxyethanol,Slaai™  Makeup-Melting Butter Cleanser
Amino Acids,Smart Night™ Custom-Repair Moisturizer - Dry Combination
Caffeine,Smart Night™ Custom-Repair Moisturizer - Dry Combination
Caprylyl Glycol,Smart Night™ Custom-Repair Moisturizer - Dry Combination
Phenoxyethanol,Smart Night™ Custom-Repair Moisturizer - Dry Combination
Sodium Hyaluronate,Smart Night™ Custom-Repair Moisturizer - Dry Combination
Phenoxyethanol,Soy Makeup Removing Face Wash
Glycerin,Special Cleansing Gel
Phenoxyethanol,Squalane + Antioxidant Cleansing Oil
Phenoxyethanol,Squalane + Glycolic Renewal Mask
Phenoxyethanol,Squalane + Marine Algae Eye Cream
Phenoxyethanol,Squalane + Omega Repair Cream
Phenoxyethanol,Squalane + Peptide Eye Gel
Phenoxyethanol,Squalane + Phyto-Retinol Serum
Phenoxyethanol,Squalane+ Rose Vegan Lip Balm
Phenoxyethanol,Squalane + Tea Tree Balancing Oil
Phenoxyethanol,Squalane + Tea Tree Cleansing Gel
Phenoxyethanol,Squalane + Vitamin C Rose Oil
Phenoxyethanol,Sugar Face Polish Exfoliator
Glycerin,Go To Bed With Me Complete Anti-Aging Night Routine
Phenoxyethanol,Go To Bed With Me Complete Anti-Aging Night Routine
Phytosphingosine,Go To Bed With Me Complete Anti-Aging Night Routine
Butylene Glycol,SUPERMUD® Charcoal Instant Treatment Mask
Caprylyl Glycol,SUPERMUD® Charcoal Instant Treatment Mask
Dimethicone,SUPERMUD® Charcoal Instant Treatment Mask
Glycerin,SUPERMUD® Charcoal Instant Treatment Mask
Lactic Acid,SUPERMUD® Charcoal Instant Treatment Mask
Magnesium,SUPERMUD® Charcoal Instant Treatment Mask
Mandelic Acid,SUPERMUD® Charcoal Instant Treatment Mask
Phenoxyethanol,SUPERMUD® Charcoal Instant Treatment Mask
Phenoxyethanol,Super Spot Remover™ Acne Treatment Gel
Phenoxyethanol,Superberry Hydrate + Glow Dream Mask with Vitamin C
Phenoxyethanol,PLAY Everyday Lotion SPF 50 PA++++
Phenoxyethanol,Superscreen Daily Moisturizer Broad Spectrum SPF 40 PA+++
Charcoal,SUPERTONER™ Exfoliating Acid Solution Toner
Lactic Acid,SUPERTONER™ Exfoliating Acid Solution Toner
Mandelic Acid,SUPERTONER™ Exfoliating Acid Solution Toner
Phenoxyethanol,SUPERTONER™ Exfoliating Acid Solution Toner
Propanediol,SUPERTONER™ Exfoliating Acid Solution Toner
Phenoxyethanol,T.L.C. Framboos™ Glycolic Resurfacing Night Serum
Phenoxyethanol,T.L.C. Sukari Babyfacial™ AHA + BHA Mask
Phenoxyethanol,The Liquid Silk Canvas: Featherweight Protective Primer
Phenoxyethanol,The Dewy Skin Cream Plumping & Hydrating Moisturizer
Butylene Glycol,The Method: Polish Normal-Combination Skin
Glycerin,The Method: Polish Normal-Combination Skin
Magnesium,The Method: Polish Normal-Combination Skin
Palmitate,The Method: Polish Normal-Combination Skin
Amino Acids,The Microdelivery Exfoliating Facial Wash
Ascorbyl Glucoside,The Microdelivery Exfoliating Facial Wash
Glycerin,The Microdelivery Exfoliating Facial Wash
Magnesium,The Microdelivery Exfoliating Facial Wash
Panthenol,The Microdelivery Exfoliating Facial Wash
Phenoxyethanol,The Microdelivery Exfoliating Facial Wash
Caprylyl Glycol,The Microdelivery Vitamin C Resurfacing Peel
Lactic Acid,The Microdelivery Vitamin C Resurfacing Peel
Phenoxyethanol,The Nightly Retinol + Peptide Anti-Aging Serum
Azelaic Acid,Azelaic Acid Suspension 10%
Dimethicone,Azelaic Acid Suspension 10%
Phenoxyethanol,Azelaic Acid Suspension 10%
Triethanolamine,Azelaic Acid Suspension 10%
Allantoin,"""Buffet"""
Butylene Glycol,"""Buffet"""
Caprylyl Glycol,"""Buffet"""
Castor Oil,"""Buffet"""
Glycerin,"""Buffet"""
Phenoxyethanol,"""Buffet"""
Sodium Hyaluronate,"""Buffet"""
Caprylyl Glycol,Glycolic Acid 7% Toning Solution
Glycerin,Glycolic Acid 7% Toning Solution
Propanediol,Glycolic Acid 7% Toning Solution
Triethanolamine,Glycolic Acid 7% Toning Solution
Cetearyl Alcohol,Granactive Retinoid* 2% Emulsion
Glycerin,Granactive Retinoid* 2% Emulsion
Phenoxyethanol,Granactive Retinoid* 2% Emulsion
Propanediol,Granactive Retinoid* 2% Emulsion
Retinol,Granactive Retinoid* 2% Emulsion
Palmitate,Granactive Retinoid* 2% Emulsion
Caprylyl Glycol,Hyaluronic Acid 2% + B5
Glycerin,Hyaluronic Acid 2% + B5
Panthenol,Hyaluronic Acid 2% + B5
Phenoxyethanol,Hyaluronic Acid 2% + B5
Propanediol,Hyaluronic Acid 2% + B5
Sodium Hyaluronate,Hyaluronic Acid 2% + B5
Caprylyl Glycol,Lactic Acid 10% + HA
Castor Oil,Lactic Acid 10% + HA
Glycerin,Lactic Acid 10% + HA
Lactic Acid,Lactic Acid 10% + HA
Sodium Hyaluronate,Lactic Acid 10% + HA
Triethanolamine,Lactic Acid 10% + HA
Butylene Glycol,Matrixyl* 10% + HA
Castor Oil,Matrixyl* 10% + HA
Glycerin,Matrixyl* 10% + HA
Phenoxyethanol,Matrixyl* 10% + HA
Sodium Hyaluronate,Matrixyl* 10% + HA
Allantoin,Natural Moisturizing Factors + HA
Glycerin,Natural Moisturizing Factors + HA
Phenoxyethanol,Natural Moisturizing Factors + HA
Propanediol,Natural Moisturizing Factors + HA
Sodium Hyaluronate,Natural Moisturizing Factors + HA
Triethanolamine,Natural Moisturizing Factors + HA
Phenoxyethanol,Niacinamide 10% + Zinc 1%
Palmitate,Vitamin C Suspension 23% + HA Spheres 2%
Sodium Hyaluronate,Vitamin C Suspension 23% + HA Spheres 2%
Vitamin C,Vitamin C Suspension 23% + HA Spheres 2%
Dimethicone,Vitamin C Suspension 30% in Silicone
Vitamin C,Vitamin C Suspension 30% in Silicone
Phenoxyethanol,The Silk Canvas Protective Primer
Phenoxyethanol,The True Cream Aqua Bomb
Phenoxyethanol,The True Cream Moisturizing Bomb
Phenoxyethanol,The Water Cream Oil-Free Pore Minimizing Moisturizer
Glycerin,Therapeutic Sulfur Acne Treatment Mask
Methylparaben,Therapeutic Sulfur Acne Treatment Mask
Propylene Glycol,Therapeutic Sulfur Acne Treatment Mask
Allantoin,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Butylene Glycol,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Caprylyl Glycol,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Cetearyl Alcohol,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Cyclopentasiloxane,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Glycerin,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Phenoxyethanol,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Sodium Hyaluronate,THIRSTYMUD™ 24-Hour Hydrating Treatment Face Mask
Allantoin,Treatment Enzyme Exfoliating Powder Cleanser
Butylene Glycol,Treatment Enzyme Exfoliating Powder Cleanser
Caprylyl Glycol,Trinity + Eye and Lip Enhancer Attachment Bundle
Glycerin,Trinity + Eye and Lip Enhancer Attachment Bundle
Hyaluronic Acid,Trinity + Eye and Lip Enhancer Attachment Bundle
Magnesium,Trinity + Eye and Lip Enhancer Attachment Bundle
Phenoxyethanol,Trinity + Eye and Lip Enhancer Attachment Bundle
Propanediol,Trinity + Eye and Lip Enhancer Attachment Bundle
Caprylyl Glycol,Trinity Facial Toning Device
Glycerin,Trinity Facial Toning Device
Hyaluronic Acid,Trinity Facial Toning Device
Magnesium,Trinity Facial Toning Device
Phenoxyethanol,Trinity Facial Toning Device
Propanediol,Trinity Facial Toning Device
Benzyl Alcohol,Truth™ On the Glow Cleansing Cloths
Glycerin,Truth™ On the Glow Cleansing Cloths
Phenoxyethanol,Truth™ On the Glow Cleansing Cloths
Pomegranate,Truth™ On the Glow Cleansing Cloths
Propylene Glycol,Truth™ On the Glow Cleansing Cloths
Vitamin C,Truth™ On the Glow Cleansing Cloths
Caprylyl Glycol,Truth Serum®
Collagen,Truth Serum®
Dimethicone,Truth Serum®
Glycerin,Truth Serum®
Phenoxyethanol,Truth Serum®
Sodium Ascorbyl Phosphate,Truth Serum®
Sodium Hyaluronate,Truth Serum®
Vitamin C,Truth Serum®
Butylene Glycol,Turnaround Overnight Revitalizing Moisturizer
Dimethicone,Turnaround Overnight Revitalizing Moisturizer
Palmitate,Turnaround Overnight Revitalizing Moisturizer
Pomegranate,U.F.O. Ultra-Clarifying Face Oil
Avocado Oil,Ultra Facial Cream
Glycerin,Ultra Facial Cream
Phenoxyethanol,Ultra Facial Cream
Phenoxyethanol,Ultra Glow Serum: Glow + Strengthen Vitamin C Serum
Allantoin,Ultra Repair® Cream Intense Hydration
Caprylyl Glycol,Ultra Repair® Cream Intense Hydration
Cetearyl Alcohol,Ultra Repair® Cream Intense Hydration
Dimethicone,Ultra Repair® Cream Intense Hydration
Glycerin,Ultra Repair® Cream Intense Hydration
Phenoxyethanol,Ultra Repair® Cream Intense Hydration
Phenoxyethanol,Ultra Repair Face Moisturizer
Phenoxyethanol,Ultra Repair® Hydrating Serum
Phenoxyethanol,Umbra Sheer™ Physical Daily Defense SPF 30
Phenoxyethanol,Umbrian Clay Pore Purifying Face Exfoliator
Glycerin,Umbrian Clay Pore Purifying Face Mask Mini
Phenoxyethanol,Umbrian Clay Pore Purifying Face Mask Mini
Butylene Glycol,Vinoperfect Anti Dark Spot Serum
Caprylyl Glycol,Vinoperfect Anti Dark Spot Serum
Glycerin,Vinoperfect Anti Dark Spot Serum
Phenoxyethanol,Vinopure Natural Salicylic Acid Pore Minimizing Serum
Phenoxyethanol,Vinopure Natural Salicylic Acid Pore Minimizing Toner
Phenoxyethanol,Vinosource Moisturizing Sorbet
Phenoxyethanol,Vinosource SOS Deep Hydration Serum
Phenoxyethanol,Vinosource SOS Intense Hydration Moisturizer
Phenoxyethanol,Virgin Marula Luxury  Face Oil
Benzyl Alcohol,Vitamin C Ester Brightening Serum
Ferulic Acid,Vitamin C Ester Brightening Serum
Sodium Hyaluronate,Vitamin C Ester Brightening Serum
Phenoxyethanol,Vitamin C Glow Moisturizer
Butylene Glycol,WASO: Color-Smart Day Moisturizer SPF 30 Sunscreen
Caffeine,WASO: Color-Smart Day Moisturizer SPF 30 Sunscreen
Carrot,WASO: Color-Smart Day Moisturizer SPF 30 Sunscreen
Dimethicone,WASO: Color-Smart Day Moisturizer SPF 30 Sunscreen
Glycerin,WASO: Color-Smart Day Moisturizer SPF 30 Sunscreen
Phenoxyethanol,WASO: Color-Smart Day Moisturizer SPF 30 Sunscreen
Butylene Glycol,WASO: Color-Smart Day Moisturizer Oil-Free SPF 30 Sunscreen
Caffeine,WASO: Color-Smart Day Moisturizer Oil-Free SPF 30 Sunscreen
Cyclopentasiloxane,WASO: Color-Smart Day Moisturizer Oil-Free SPF 30 Sunscreen
Dimethicone,WASO: Color-Smart Day Moisturizer Oil-Free SPF 30 Sunscreen
Glycerin,WASO: Color-Smart Day Moisturizer Oil-Free SPF 30 Sunscreen
Phenoxyethanol,WASO: Color-Smart Day Moisturizer Oil-Free SPF 30 Sunscreen
Butylene Glycol,Water Drench® Hyaluronic Cloud Serum
Caprylyl Glycol,Water Drench® Hyaluronic Cloud Serum
Glycerin,Water Drench® Hyaluronic Cloud Serum
Magnesium,Water Drench® Hyaluronic Cloud Serum
Phenoxyethanol,Water Drench® Hyaluronic Cloud Serum
Propylene Glycol,Water Drench® Hyaluronic Cloud Serum
Sodium Hyaluronate,Water Drench® Hyaluronic Cloud Serum
Phenoxyethanol,Watermelon + AHA Glow Sleeping Mask
Phenoxyethanol,Watermelon Glow Ultra-Fine Mist
Phenoxyethanol,Watermelon Pink Juice Oil-Free Moisturizer
Phenoxyethanol,Whipped Argan Oil Face Butter
Phenoxyethanol,Yerba Mate Resurfacing + Exfoliating Energy Facial with Enzymes
